	Views	Protein	Species	E-value	% identity	Align len	Strands	Query ID	Query from	Query to	Target from	Target to	Bitscore	# identical	Positives	Gaps	Query len	Target len
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.12G048400.1.p	Caden.12G048400.1.p	C.dentata v1.1	2.05e-146	86	262	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	260	1	260	427.557	226	234	4	261	674
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.09G043700.1	Qurub.09G043700.1	Q.rubra v2.1	4.64e-115	73	256	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	254	1	253	345.51	186	210	5	261	621
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.12G048100.1.p	Caden.12G048100.1.p	C.dentata v1.1	2.85e-102	71	238	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	28	261	2	229	311.227	170	193	14	261	572
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.12G048600.1.p	Caden.12G048600.1.p	C.dentata v1.1	1.93e-101	67	260	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	260	1	245	311.612	174	202	15	261	662
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.04G259800.1	Qurub.04G259800.1	Q.rubra v2.1	2.30e-95	63	263	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	261	1	253	283.108	167	192	12	261	254
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.12G049300.1.p	Caden.12G049300.1.p	C.dentata v1.1	3.74e-91	59	265	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	256	1	262	283.878	156	186	12	261	618
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G191200.1	Qurub.12G191200.1	Q.rubra v2.1	5.24e-88	57	277	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	261	11	284	277.33	159	192	19	261	676
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G191200.5	Qurub.12G191200.5	Q.rubra v2.1	5.24e-88	57	277	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	261	11	284	277.33	159	192	19	261	676
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G191200.3	Qurub.12G191200.3	Q.rubra v2.1	5.24e-88	57	277	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	261	11	284	277.33	159	192	19	261	676
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G191200.2	Qurub.12G191200.2	Q.rubra v2.1	6.38e-88	58	270	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	254	11	277	276.944	157	189	19	261	668
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G191200.6	Qurub.12G191200.6	Q.rubra v2.1	6.38e-88	58	270	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	254	11	277	276.944	157	189	19	261	668
	phytozome-next.jgi.doe.gov/report/protein/Qrubra_v2_1/Qurub.12G191200.4	Qurub.12G191200.4	Q.rubra v2.1	6.38e-88	58	270	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	254	11	277	276.944	157	189	19	261	668
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.08G165700.1.p	Caden.08G165700.1.p	C.dentata v1.1	3.48e-85	58	267	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	254	1	258	269.626	156	180	22	261	659
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.12G047900.1.p	Caden.12G047900.1.p	C.dentata v1.1	7.20e-85	61	244	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	229	1	237	267.314	148	178	22	261	612
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.11G190600.1.p	Caden.11G190600.1.p	C.dentata v1.1	1.05e-82	56	264	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	259	1	251	262.307	147	185	18	261	629
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.09G211300.2.p	Caden.09G211300.2.p	C.dentata v1.1	2.62e-82	58	269	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	260	1	265	262.307	155	189	13	261	678
	phytozome-next.jgi.doe.gov/report/protein/Cdentata_v1_1/Caden.09G211300.1.p	Caden.09G211300.1.p	C.dentata v1.1	3.70e-82	58	269	+/+	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	1	260	1	265	262.307	155	189	13	261	687
