query_id,subject_id,subject_id.oak_tanoak,pct_ident.tanoak_oak,len.tanoak_oak,E.tanoak_oak,nextE.tanoak_oak,E_diff.tanoak_oak,Score.tanoak_oak,pct_ident.oak_tanoak,len.oak_tanoak,E.oak_tanoak,nextE.oak_tanoak,E_diff.oak_tanoak,Score.oak_tanoak
augustus_masked-1000_pilon-processed-gene-0.5-mRNA-1,Qrob_P0016080.2,augustus_masked-1000_pilon-processed-gene-0.5-mRNA-1,90.656,610,0,5.83e-156,-Inf,1113,90.656,610,0,2.26e-34,-Inf,1113
augustus_masked-1000_pilon-processed-gene-1.9-mRNA-1,Qrob_P0727830.2,augustus_masked-1000_pilon-processed-gene-1.9-mRNA-1,98.693,306,0,3.7100000000000003e-65,-Inf,622,98.693,306,0,1.4099999999999996e-169,-Inf,622
augustus_masked-1002_pilon-processed-gene-2.18-mRNA-1,Qrob_P0637920.2,augustus_masked-1002_pilon-processed-gene-2.18-mRNA-1,100,174,1.8699999999999998e-128,1.0899999999999999e-74,-53.76558489140413,357,100,174,2.4e-128,3.9199999999999994e-99,-29.21307482530885,357
augustus_masked-1002_pilon-processed-gene-2.8-mRNA-1,Qrob_P0013800.2,augustus_masked-1002_pilon-processed-gene-2.8-mRNA-1,96.46,226,6.239999999999999e-162,6.76e-40,-122.0347621062592,446,96.46,226,8.009999999999999e-162,1.0100000000000001e-79,-82.10068885769842,446
augustus_masked-1009_pilon-processed-gene-1.9-mRNA-1,Qrob_P0023080.2,augustus_masked-1009_pilon-processed-gene-1.9-mRNA-1,82.5,360,0,6.729999999999999e-178,-Inf,579,83.611,360,0,9.199999999999998e-151,-Inf,595
augustus_masked-1012_pilon-processed-gene-1.21-mRNA-1,Qrob_P0141420.2,augustus_masked-1012_pilon-processed-gene-1.21-mRNA-1,97.037,135,3.57e-95,2.3899999999999997e-32,-62.82572968483594,271,97.037,135,4.1e-95,5.52e-33,-62.12915522100947,271
augustus_masked-1014_pilon-processed-gene-1.5-mRNA-1,Qrob_P0661750.2,augustus_masked-1014_pilon-processed-gene-1.5-mRNA-1,88.148,135,1.02e-80,3.38e-40,-40.52031652851574,233,88.148,135,1.05e-80,2.9299999999999997e-41,-39.44567832128418,233
augustus_masked-1014_pilon-processed-gene-1.6-mRNA-1,Qrob_P0758150.2,augustus_masked-1014_pilon-processed-gene-1.6-mRNA-1,70.8,250,1.7599999999999998e-120,3.0399999999999996e-99,-21.237360915794596,356,64.664,283,7.289999999999999e-121,2.09e-16,-104.45741875779308,357
augustus_masked-1014_pilon-processed-gene-11.3-mRNA-1,Qrob_P0542040.2,augustus_masked-1014_pilon-processed-gene-11.3-mRNA-1,96.988,166,2.0599999999999997e-121,2.4299999999999998e-45,-76.07173905322917,338,96.988,166,2.6399999999999996e-121,1.1099999999999998e-47,-73.62371905191682,338
augustus_masked-1014_pilon-processed-gene-11.4-mRNA-1,Qrob_P0542110.2,augustus_masked-1014_pilon-processed-gene-11.4-mRNA-1,95.858,169,1.38e-120,2.5399999999999998e-104,-16.264954630218696,337,95.858,169,1.78e-120,5.14e-44,-76.46054311668638,337
augustus_masked-1014_pilon-processed-gene-12.1-mRNA-1,Qrob_P0542130.2,augustus_masked-1014_pilon-processed-gene-12.1-mRNA-1,96.809,188,6.6299999999999995e-133,3.3299999999999995e-66,-66.70093070510154,369,96.809,188,8.51e-133,7.25e-69,-63.93040844648641,369
augustus_masked-1014_pilon-processed-gene-13.10-mRNA-1,Qrob_P0633290.2,augustus_masked-1014_pilon-processed-gene-13.10-mRNA-1,97.486,358,0,7.6499999999999985e-168,-Inf,702,97.486,358,0,1.4799999999999998e-171,-Inf,702
augustus_masked-1014_pilon-processed-gene-13.11-mRNA-1,Qrob_P0633300.2,augustus_masked-1014_pilon-processed-gene-13.11-mRNA-1,94.751,362,0,7.179999999999999e-180,-Inf,689,94.751,362,0,6.119999999999999e-177,-Inf,689
