# BLASTP 2.13.0+
# Query: augustus_masked-585_pilon-processed-gene-3.11-mRNA-1
# Database: 12_21_tanoak_aa.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 70 hits found
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	100.000	261	0	0	1	261	1	261	0.0	543
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-585_pilon-augustus-gene-3.1-mRNA-1	73.462	260	64	4	1	260	1	255	1.39e-127	362
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-70307_pilon-augustus-gene-0.0-mRNA-1	57.519	266	96	8	1	257	1	258	5.06e-93	275
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-70307_pilon-augustus-gene-0.1-mRNA-1	59.023	266	91	9	1	257	1	257	5.58e-93	275
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-65450_pilon-processed-gene-0.0-mRNA-1	57.249	269	102	10	1	261	1	264	3.66e-87	259
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-61445_pilon-processed-gene-0.0-mRNA-1	58.929	224	83	4	14	230	56	277	6.33e-87	260
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-67978_pilon-augustus-gene-0.3-mRNA-1	57.463	268	102	9	1	260	1	264	6.79e-87	261
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-70299_pilon-processed-gene-0.1-mRNA-1	59.657	233	77	6	1	220	8	236	5.68e-84	250
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-804_pilon-processed-gene-0.1-mRNA-1	52.817	284	102	11	1	258	1	278	7.71e-81	244
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-380_pilon-processed-gene-16.5-mRNA-1	52.465	284	103	11	1	258	1	278	5.90e-80	242
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-262_pilon-processed-gene-13.2-mRNA-1	52.113	284	104	11	1	258	1	278	7.87e-79	239
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-991_pilon-processed-gene-2.11-mRNA-1	52.113	284	104	11	1	258	1	278	7.87e-79	239
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-71456_pilon-augustus-gene-0.0-mRNA-1	53.191	235	78	8	51	261	13	239	2.70e-72	222
