tanoak	dnds	GO_annotations	signature_descriptions	interpro_descriptions
maker-419_pilon-snap-gene-2.66	NA	GO:0016020|GO:0022857|GO:0055085	Solute carrier family 35	Solute carrier family 35 member SLC35F1/F2/F6
evm-419_pilon-processed-gene-5.3	0.233802841170574	GO:0006629	Lipase (class 3)	Fungal lipase-like domain
snap-898_pilon-processed-gene-1.50	0.110100831532349	GO:0003700|GO:0006355|GO:0043565	WRKY DNA -binding domain	WRKY domain
maker-898_pilon-augustus-gene-3.37	0.703707533990886	GO:0003887	DNA polymerase III subunits gamma and tau domain III, DNA polymerase III, delta subunit	DNA polymerase III, gamma subunit, domain III, -
maker-898_pilon-snap-gene-5.37	0.176664421612397	GO:0046872	FYVE zinc finger, Las17-binding protein actin regulator	FYVE zinc finger, Ysc84 actin-binding domain
maker-898_pilon-snap-gene-6.52	NA	GO:0015267|GO:0016020|GO:0055085	Major intrinsic protein	Major intrinsic protein
maker-898_pilon-snap-gene-6.55	1.93888899022502	GO:0015267|GO:0016020|GO:0055085	Major intrinsic protein	Major intrinsic protein
maker-72587_pilon-snap-gene-0.4	0.712204839808434	GO:0015035	DCC1-like thiol-disulfide oxidoreductase	DCC1-like thiol-disulfide oxidoreductase family
maker-263593_pilon-snap-gene-0.9	NA	GO:0015267|GO:0016020|GO:0055085	Major intrinsic protein	Major intrinsic protein
maker-72105_pilon-snap-gene-2.94	0.233033053226727	GO:0000139|GO:0015165|GO:0016020|GO:0090481	Nucleotide-sugar transporter	Nucleotide-sugar transporter
augustus-238811_pilon-processed-gene-0.3	1.08061022992088	GO:0005515	F-box domain	F-box domain
maker-64570_pilon-augustus-gene-0.0	0.471380846892764	GO:0005515	NHL repeat	NHL repeat
maker-585_pilon-snap-gene-0.64	NA	GO:0004857|GO:0030599|GO:0042545	Plant invertase/pectin methylesterase inhibitor, Pectinesterase	Pectinesterase inhibitor domain, Pectinesterase, catalytic
maker-585_pilon-snap-gene-1.8	0.229522864036182	GO:0005515	PWWP domain, PHD-zinc-finger like domain, PHD-finger, SET domain	PWWP domain, -, Zinc finger, PHD-finger, SET domain
snap_masked-585_pilon-processed-gene-3.100	4.54247026588027	GO:0030247	Wall-associated receptor kinase galacturonan-binding	Wall-associated receptor kinase, galacturonan-binding domain
snap-826_pilon-processed-gene-6.20	0.458951251879505	GO:0009733	Auxin responsive protein	Small auxin-up RNA
snap-1002_pilon-processed-gene-2.0	0.380404100789166	GO:0003700|GO:0006355	AP2 domain	AP2/ERF domain
evm-74379_pilon-processed-gene-0.2	NA	GO:0005216|GO:0006811|GO:0016020|GO:0055085	Ion transport protein	Ion transport domain
maker-984_pilon-snap-gene-4.76	Inf	GO:0003677	B3 DNA binding domain	B3 DNA binding domain
augustus-984_pilon-processed-gene-13.63	0.442997546945353	GO:0046983	Helix-loop-helix DNA-binding domain	Myc-type, basic helix-loop-helix (bHLH) domain
