# BLASTP 2.12.0+
# Query: augustus_masked-585_pilon-processed-gene-3.11-mRNA-1
# Database: polysaccharide_peps.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 12 hits found
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	100.000	261	0	0	1	261	1	261	0.0	543
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-804_pilon-processed-gene-0.1-mRNA-1	52.817	284	102	11	1	258	1	278	1.77e-84	244
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-72558_pilon-processed-gene-0.9-mRNA-1	42.647	68	35	4	33	96	37	104	6.62e-10	46.6
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-72558_pilon-processed-gene-0.9-mRNA-1	62.500	8	3	0	53	60	104	111	2.6	17.7
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-833_pilon-processed-gene-0.7-mRNA-1	28.758	153	88	8	4	148	5	144	6.82e-10	47.0
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-70081_pilon-processed-gene-0.0-mRNA-1	35.294	102	49	6	35	119	28	129	1.44e-09	46.2
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-74056_pilon-augustus-gene-23.3-mRNA-1	35.227	88	48	5	14	96	13	96	2.57e-09	45.8
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1	24.138	58	44	0	37	94	3	60	1.59e-06	36.6
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-445_pilon-augustus-gene-33.7-mRNA-1	34.848	66	36	4	36	99	37	97	2.38e-04	30.4
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-781_pilon-processed-gene-36.3-mRNA-1	27.174	92	57	4	35	122	36	121	0.005	26.6
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	augustus_masked-781_pilon-processed-gene-36.3-mRNA-1	42.857	14	8	0	208	221	124	137	5.2	16.9
augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	maker-74803_pilon-augustus-gene-0.0-mRNA-1	42.857	14	8	0	46	59	13	26	3.5	17.3
# BLASTP 2.12.0+
# Query: augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1
# Database: polysaccharide_peps.fa
# Fields: query acc.ver, subject acc.ver, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 13 hits found
augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1	augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1	100.000	201	0	0	1	201	1	201	8.80e-153	411
augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1	augustus_masked-585_pilon-processed-gene-3.11-mRNA-1	24.138	58	44	0	3	60	37	94	1.17e-06	36.6
augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1	augustus_masked-70081_pilon-processed-gene-0.0-mRNA-1	48.387	31	15	1	10	39	43	73	3.66e-06	35.0
augustus_masked-70100_pilon-processed-gene-0.0-mRNA-1	augustus_masked-833_pilon-processed-gene-0.7-mRNA-1	45.161	31	16	1	10	39	49	79	2.75e-04	29.6
